source_id,kaynak_adi,arsiv_icerik_tarihi,bizim_cekme_tarihimiz,yas_gun,arsiv_indeksi,tazelik_uyarisi,guncel_veri_mi
source-0435,IMF,2025-02-16,2026-09-03,586,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-16 tarihli, 586 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0475,Seloger,2025-02-16,2026-09-03,586,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-16 tarihli, 586 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0598,PickFu,2025-02-16,2026-09-03,586,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-16 tarihli, 586 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0070,Starter Story,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0186,Verisign RDAP,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0195,SecurityTrails,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0241,Snapchat Ads Gallery,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0344,Wiley Online Library,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0399,U.S. Food and Drug Administration,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0413,EUIPO,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0488,Hotels.com,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0527,SteamDB,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0618,StackShare,2025-02-17,2026-09-03,585,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-17 tarihli, 585 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0069,GrowthHackers,2025-02-18,2026-09-03,584,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-18 tarihli, 584 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0131,Make Apps Directory,2025-02-18,2026-09-03,584,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-18 tarihli, 584 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0150,ConsumerAffairs,2025-02-18,2026-09-03,584,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-18 tarihli, 584 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
source-0314,Angi,2025-02-18,2026-09-03,584,CC-MAIN-2025-08,"ARŞİV — içerik 2025-02-18 tarihli, 584 gün eski. Güncel veri DEĞİLDİR; bulgu bu tarihle birlikte taşınmalıdır.",hayır
