kategori,document_id,source_id,source_adi,belge_turu,icerik_durumu,url_yolu
oyun,doc-efeb6675d1c8,source-0521,itch.io,kayit-sayfasi,gercek-icerik,/question
regule-sektor,doc-00e3f2b08cd7,source-0392,European Data Protection Board,belirsiz,gercek-icerik,/home_en
regule-sektor,doc-091116dfa9fa,source-0405,Competition and Markets Authority,liste-sayfasi,gercek-icerik,/browse
regule-sektor,doc-301a1cfc708a,source-0400,U.S. Securities and Exchange Commission,ana-sayfa,arsiv,/
regule-sektor,doc-4a3241c0ded0,source-0399,U.S. Food and Drug Administration,ana-sayfa,arsiv,/
regule-sektor,doc-54b396ca9e05,source-0404,UK Information Commissioner's Office,belirsiz,gercek-icerik,/for-organisations/direct-marketing-and-privacy-and-electronic-communi
regule-sektor,doc-6d4c24748e6b,source-0384,SPK,fiyatlandirma-sayfasi,gercek-icerik,/plans
regule-sektor,doc-872650cb049d,source-0402,UK Legislation,ana-sayfa,gercek-icerik,/
regule-sektor,doc-8a55c1fd9618,source-0384,SPK,fiyatlandirma-sayfasi,gercek-icerik,/pricing
regule-sektor,doc-8f61465706d8,source-0396,Federal Register,ana-sayfa,arsiv,/
regule-sektor,doc-b75bedf93717,source-0403,UK Financial Conduct Authority,sitemap,aday-kesif,/consumers/fca-firm-checker/sitemap.xml
regule-sektor,doc-bb4e35b2da9d,source-0384,SPK,ana-sayfa,gercek-icerik,/
regule-sektor,doc-d435f4218281,source-0387,Sağlık Bakanlığı,ana-sayfa,arsiv,/
saglik,doc-0d4795bea024,source-0424,ECDC,sitemap,aday-kesif,/sitemap.xml
saglik,doc-1e9f05ae5085,source-0424,ECDC,sitemap,aday-kesif,/sitemap.xml
saglik,doc-1edfea6d3e07,source-0429,MedlinePlus,ana-sayfa,gercek-icerik,/
saglik,doc-2250e832273b,source-0430,HealthData.gov,ana-sayfa,js-kabugu,/
saglik,doc-2682d44f32a5,source-0423,CDC,ana-sayfa,gercek-icerik,/
saglik,doc-3d3445e66963,source-0331,PubMed,ana-sayfa,gercek-icerik,/
saglik,doc-4138986c453f,source-0422,NICE,ana-sayfa,gercek-icerik,/
saglik,doc-499aeaedd1cd,source-0423,CDC,belirsiz,gercek-icerik,/about-us/community/
saglik,doc-4a3241c0ded0,source-0399,U.S. Food and Drug Administration,ana-sayfa,arsiv,/
saglik,doc-62c6e45b11bc,source-0424,ECDC,sitemap,aday-kesif,/sitemap.xml
saglik,doc-796b0b20504a,source-0431,Global Health Data Exchange,ana-sayfa,gercek-icerik,/
saglik,doc-859bfdbac6d6,source-0422,NICE,kayit-sayfasi,gercek-icerik,/solutions/boost-customer-loyalty
seyahat,doc-01be99bc1364,source-0493,Hostelworld,ana-sayfa,gercek-icerik,/
seyahat,doc-0868c88fbca4,source-0502,Moovit,sitemap,aday-kesif,/sitemap_index.xml
seyahat,doc-1a387019ea00,source-0498,Uber,sitemap,aday-kesif,/sitemap.xml
seyahat,doc-2dce68bf08f3,source-0489,Agoda,ana-sayfa,js-kabugu,/
seyahat,doc-429b476ff3da,source-0490,Skyscanner,belirsiz,gercek-icerik,/community
seyahat,doc-5f277e4c37a3,source-0486,Airbnb,politika-dosyasi,politika,/robots.txt
seyahat,doc-68227c2f9a74,source-0485,Booking.com,sitemap,aday-kesif,/sitembk-airport-index.xml
seyahat,doc-77107610324b,source-0303,OpenStreetMap,ana-sayfa,gercek-icerik,/
seyahat,doc-7adf225cf12b,source-0491,Kayak,sitemap,aday-kesif,/store-categories-sitemap.xml
seyahat,doc-8aab0ef7630e,source-0494,Vrbo,ana-sayfa,js-kabugu,/
seyahat,doc-8bddbe2e9f89,source-0502,Moovit,sitemap,aday-kesif,/events-sitemap.xml
seyahat,doc-9e79c2088f41,source-0491,Kayak,sitemap,aday-kesif,/sitemap.xml
turkiye-pazari,doc-1be11b382c67,source-0619,StartupMarket,ana-sayfa,gercek-icerik,/
turkiye-pazari,doc-34e231c8ffc1,source-0620,startups.watch,ana-sayfa,gercek-icerik,/
turkiye-pazari,doc-3bc1dd539e43,source-0622,TÜBİTAK,liste-sayfasi,gercek-icerik,/tr/kurumsal/teknoloji-transfer-ofisi/ilanlar
turkiye-pazari,doc-446719e917fc,source-0624,Bilişim Vadisi,sitemap,aday-kesif,/page-sitemap.xml
turkiye-pazari,doc-4d3f64897b51,source-0635,Founder Institute Türkiye,ana-sayfa,gercek-icerik,/
turkiye-pazari,doc-587eca55ecee,source-0634,Arya Women Investment Platform,ana-sayfa,gercek-icerik,/
turkiye-pazari,doc-7404409322b2,source-0627,ODTÜ Teknokent,ana-sayfa,arsiv,/tr/
turkiye-pazari,doc-820ae4db92b3,source-0633,Galata Business Angels,belirsiz,gercek-icerik,/tr/kategori/roportaj/
turkiye-pazari,doc-9b3ed03dc86d,source-0622,TÜBİTAK,ana-sayfa,gercek-icerik,/tr
turkiye-pazari,doc-b210523fdaaa,source-0628,Yıldız Teknopark,ana-sayfa,arsiv,/
turkiye-pazari,doc-bde527f118e5,source-0624,Bilişim Vadisi,sitemap,aday-kesif,/tribe_events-sitemap.xml
turkiye-pazari,doc-e35ef2491b6b,source-0633,Galata Business Angels,sitemap,aday-kesif,/tr/portfolio-item-sitemap.xml
yapay-zeka-urunu,doc-070d3f26fd5f,source-0547,Glama,sitemap,aday-kesif,/sitemap.xml
yapay-zeka-urunu,doc-1736c864f8c5,source-0535,OpenRouter,liste-sayfasi,gercek-icerik,/apps
yapay-zeka-urunu,doc-2a0f4e5bf9df,source-0538,Artificial Analysis,ana-sayfa,gercek-icerik,/
yapay-zeka-urunu,doc-379d4a5170ec,source-0548,MCP.so,sitemap,aday-kesif,/sitemap.xml
yapay-zeka-urunu,doc-40bb74ab8969,source-0541,AWS Marketplace,fiyatlandirma-sayfasi,gercek-icerik,/cn/pricing/
yapay-zeka-urunu,doc-6f895813e9e7,source-0353,Papers with Code,sitemap,aday-kesif,/sitemaps/tasks.xml
yapay-zeka-urunu,doc-82763723e54e,source-0537,Together AI,sitemap,aday-kesif,/sitemap.xml
yapay-zeka-urunu,doc-92d57ae304e4,source-0536,Replicate,sitemap,aday-kesif,/sitemap.xml
yapay-zeka-urunu,doc-a7a46f5c0ae2,source-0547,Glama,liste-sayfasi,gercek-icerik,/mcp/categories
yapay-zeka-urunu,doc-b29712910513,source-0550,Composio,sitemap,aday-kesif,/sitemap.xml
yapay-zeka-urunu,doc-c9d15370fd94,source-0541,AWS Marketplace,sitemap,aday-kesif,/sitemaps/sitemap_japan/
